millisInsercao,grau,siglaTribunal,valorCausa,nivelSigilo,numero,codigoOrgaoJulgador,procEl,classeProcessual,tamanhoProcesso,dscSistema,competencia,codigoLocalidade,totalAssuntos,dataAjuizamento,movimentoNacional,movimentoLocal,assuntoNacional,assuntoLocal,tempo_proc_dias,data_ultimo_mov,total_movs_loc,total_movs_nac,total_movs,1_mov_nac_freq,2_mov_nac_freq,desc_mov1,desc_mov2,tempoMedioEntreMovimentos,cluster_processo,pontuacao_processo
1574276415802,3,TST,0.0,0,13083467220045010900,45241,0,1000,10839,0,5,3304557,0,1081738800000,"[[51, '20160527102454'], [51, '20190823124808'], [123, '20190628115826'], [432, '20190402190000'], [92, '20191029070000'], [272, '20170310153300'], [432, '20191028190000'], [123, '20140602180616'], [92, '20190802070000'], [51, '20190423173901'], [123, '20190604134852'], [51, '20190521152727'], [123, '20190401180226'], [92, '20190403070000'], [123, '20161028101309'], [265, '20170324193058'], [92, '20190605070000'], [272, '20120702154157'], [132, '20140603140218'], [51, '20140521184247'], [123, '20191024170951'], [123, '20140529103148'], [123, '20140530133640'], [92, '20161103070000'], [51, '20190627121002'], [51, '20140805183844'], [898, '20170309155243'], [51, '20181219182746'], [92, '20140604070000']]",[],"[[1966, False]]",[],3532,20191029070000,0.0,29.0,29.0,51,123,Conclusão,Conclusão,121.79310344827586,3,69.5629854750147
1570040414034,3,TST,0.0,0,01382401920015100005,45227,0,204,29939,0,5,5300108,0,1081825200000,"[[132, '20170426021757'], [123, '20190322200410'], [123, '20180514151211'], [51, '20181130170110'], [132, '20190408145011'], [92, '20190108070000'], [123, '20181218113748'], [848, '20190322122831'], [123, '20180510104254'], [112, '20190215180000']]",[],"[[9166, False]]",[],3328,20190408145011,0.0,10.0,10.0,123,132,Remessa,Remessa,332.8,3,69.6591020257928
1547328184027,3,TST,0.0,0,01382401920015100005,45241,0,204,56989,0,5,5300108,0,1081825200000,"[[123, '20180514151211'], [92, '20190108070000'], [51, '20181130170110'], [132, '20170426021757'], [123, '20180510104254'], [123, '20181218113748']]",[],"[[864, False], [9166, False]]",[],3238,20190108070000,0.0,6.0,6.0,123,92,Remessa,Remessa,539.6666666666666,3,71.26221130791443
1548165225517,3,TST,0.0,0,01382401920015100005,45240,0,204,29321,0,5,5300108,0,1081825200000,"[[123, '20180510104254'], [123, '20180514151211'], [51, '20181130170110'], [92, '20190108070000'], [123, '20181218113748'], [132, '20170426021757']]",[],"[[864, False], [9166, False]]",[],3238,20190108070000,0.0,6.0,6.0,123,51,Remessa,Remessa,539.6666666666666,3,71.26221130791443
1571675220680,3,TST,0.0,0,00573002920025170008,45224,0,1689,53410,0,5,3205309,0,1082430000000,"[[132, '20140602173310'], [51, '20190529092321'], [92, '20190725070000'], [51, '20190621174819'], [92, '20190522070000'], [123, '20190722134410'], [51, '20140805183537'], [92, '20161123070000'], [123, '20161121093141'], [132, '20190918121420'], [848, '20190917123230'], [898, '20170505122300'], [265, '20170630143857'], [432, '20190521190000'], [123, '20190520151837'], [272, '20120705184159'], [123, '20140530173344'], [123, '20190917210231'], [92, '20140604070000'], [51, '20181219182634'], [51, '20140521182554'], [51, '20160527102314'], [123, '20150313095336']]",[],"[[1966, False]]",[],3491,20190918121420,0.0,23.0,23.0,51,123,Conclusão,Conclusão,151.7826086956522,3,69.41194988170025
1548187825833,3,TST,0.0,0,00098002720025150103,45240,0,1689,0,0,5,3502804,0,1082430000000,"[[123, '20181203153130'], [132, '20181203153029']]",[],"[[864, False]]",[],3202,20181203153130,0.0,2.0,2.0,123,132,Remessa,Remessa,1601.0,3,85.32714043457196
1570040368964,3,TST,0.0,0,00573002920025170008,45241,0,1689,53410,0,5,3205309,0,1082430000000,"[[123, '20190722134410'], [51, '20190529092321'], [92, '20161123070000'], [132, '20190918121420'], [92, '20190522070000'], [272, '20120705184159'], [265, '20170630143857'], [51, '20140521182554'], [92, '20140604070000'], [848, '20190917123230'], [51, '20140805183537'], [123, '20161121093141'], [123, '20140530173344'], [123, '20150313095336'], [123, '20190917210231'], [92, '20190725070000'], [898, '20170505122300'], [132, '20140602173310'], [432, '20190521190000'], [51, '20160527102314'], [51, '20190621174819'], [51, '20181219182634'], [123, '20190520151837']]",[],"[[1966, False]]",[],3491,20190918121420,0.0,23.0,23.0,123,51,Remessa,Remessa,151.7826086956522,3,69.41194988170025
1576696254718,3,TST,0.0,0,01978002420025070009,45241,0,204,1679,0,5,2304400,0,1082602800000,"[[51, '20190318101009'], [123, '20190222181735'], [51, '20141105175741'], [51, '20190808173552'], [51, '20140521182905'], [51, '20191028165639'], [132, '20140819170608'], [92, '20190509070000'], [132, '20140602173117'], [123, '20190816143648'], [432, '20190226190000'], [123, '20140819152340'], [123, '20190531193643'], [92, '20191107070000'], [51, '20140805191504'], [92, '20190820070000'], [92, '20190227070000'], [51, '20190322143824'], [92, '20190613070000'], [272, '20120522113554'], [92, '20140604070000'], [92, '20191107070000'], [123, '20140822171623'], [51, '20180927131721'], [51, '20190521090453'], [123, '20191028182937'], [123, '20190425164918'], [123, '20140529103138'], [123, '20140905103753'], [92, '20140821070000'], [432, '20190819190000'], [51, '20190913095740']]",[],"[[864, False]]",[],3540,20191107070000,0.0,32.0,32.0,51,123,Conclusão,Conclusão,110.625,3,69.51952726584769
1582017269186,3,TST,0.0,0,01978002420025070009,45227,0,204,56120,0,5,2304400,0,1082602800000,"[[132, '20140602173117'], [123, '20190222181735'], [92, '20190509070000'], [432, '20190226190000'], [123, '20190531193643'], [51, '20190521090453'], [92, '20190227070000'], [51, '20191028165639'], [51, '20190808173552'], [92, '20191107070000'], [123, '20191028182937'], [92, '20190613070000'], [51, '20141105175741'], [123, '20200124162742'], [132, '20140819170608'], [432, '20190819190000'], [272, '20120522113554'], [92, '20190820070000'], [123, '20190816143648'], [123, '20140905103753'], [51, '20190913095740'], [123, '20200124162742'], [51, '20140521182905'], [123, '20140529103138'], [92, '20140821070000'], [51, '20180927131721'], [51, '20190318101009'], [123, '20140819152340'], [51, '20190322143824'], [123, '20190425164918'], [92, '20191107070000'], [51, '20140805191504'], [92, '20140604070000'], [123, '20140822171623']]",[],"[[864, False]]",[],3619,20200124162742,0.0,34.0,34.0,123,51,Remessa,Remessa,106.44117647058823,3,70.54581226544423
1579342725757,3,TST,0.0,0,02359005420025070007,45241,0,204,43654,0,5,2304400,0,1082602800000,"[[123, '20150701130552'], [123, '20140819152449'], [132, '20140819170609'], [51, '20150805142945'], [51, '20180927131112'], [132, '20140602173314'], [123, '20140530173359'], [123, '20150805153623'], [92, '20191217070000'], [51, '20190702090858'], [123, '20190930133301'], [272, '20120621175659'], [92, '20190802070000'], [51, '20140521182905'], [432, '20190226190000'], [92, '20140604070000'], [123, '20190222181745'], [123, '20190603102255'], [123, '20140905104034'], [92, '20190227070000'], [92, '20190605070000'], [123, '20191207105133'], [51, '20190327173503'], [51, '20141105175741'], [123, '20140822171623'], [92, '20191217070000'], [92, '20140821070000'], [51, '20191016160555'], [51, '20191206184353'], [92, '20191008070000'], [123, '20190710182759'], [51, '20140805191504'], [51, '20150708153752'], [123, '20150701140958'], [123, '20150630181411'], [51, '20190320092932'], [432, '20191007190000'], [51, '20190823124808']]",[],"[[864, False]]",[],3580,20191217070000,0.0,38.0,38.0,123,51,Remessa,Remessa,94.21052631578948,3,69.8430598627721
