SEQ_ORGAO,NOMEDAVARA,SEQ_ORGAO_PAI,GRAU_ORGAO,SEQ_CIDADE,DSC_CIDADE,SIG_UF,COD_IBGE,DSC_TIP_ORGAO,TIP_ESFERA_JUSTICA,INT_ORDEM_ORGAO,LATITUDE,LONGITUDE,CAPITAL,qtd_processos,tempo_medio_proc,tempo_entre_movs,cluster_processual_mais_comum,cluster_unidade,procs_em_alerta,ranking
19618,1ª VARA DO TRABALHO DE PEDREIRAS,13212.0,GRA1T,3661.0,pedreiras,MA,2108207.0,Varas Trabalhistas,T,1.0,-4.3981444,-44.688356,0,450,323.0088888888889,78.3672683781964,1,1,38,0
19619,1ª VARA DO TRABALHO DE PINHEIRO,13212.0,GRA1T,3765.0,pinheiro,MA,2108603.0,Varas Trabalhistas,T,1.0,-2.51858,-45.0785274,0,3051,571.1563421828909,34.09567686322682,1,1,410,0
19620,1ª VARA DO TRABALHO DE PRESIDENTE DUTRA,13212.0,GRA1T,3967.0,presidente dutra,MA,2109106.0,Varas Trabalhistas,T,1.0,-5.296753,-44.4949603,0,950,274.84736842105264,5.856140515804926,1,1,66,0
19621,1ª VARA DO TRABALHO DE SANTA INÊS,13212.0,GRA1T,4349.0,santa ines,MA,2109908.0,Varas Trabalhistas,T,1.0,-3.663772,-45.3872217,0,1256,1025.9442675159237,367.29190570667885,1,1,144,0
19622,1ª VARA DO TRABALHO DE SÃO JOÃO DOS PATOS,13212.0,GRA1T,4672.0,sao joao dos patos,MA,2111102.0,Varas Trabalhistas,T,1.0,-6.4943782,-43.703533,0,745,892.1194630872483,140.7924920344658,1,1,65,0
19623,1ª VARA DO TRABALHO DE TIMON,13212.0,GRA1T,5182.0,timon,MA,2112209.0,Varas Trabalhistas,T,1.0,-5.095454,-42.8271749,0,430,897.1767441860466,521.5996432833088,1,3,64,0
19624,GABINETE DO DESEMBARGADOR JAMES MAGNO ARAÚJO FARIAS,13212.0,GRA2T,4752.0,sao luis,MA,2111300.0,Gabinete de Desembargador do Trabalho,T,,-2.5431817,-44.2926719,1,533,3373.2795497185743,1760.0177938515094,3,3,173,0
19625,GABINETE DA DESEMBARGADORA SOLANGE CRISTINA PASSOS DE CASTRO CORDEIRO,13212.0,GRA2T,4752.0,sao luis,MA,2111300.0,Gabinete de Desembargador do Trabalho,T,,-2.5431817,-44.2926719,1,519,3482.4142581888245,1018.1679847981187,3,3,10,0
19626,GABINETE DO DESEMBARGADOR LUIZ COSMO DA SILVA JÚNIOR,13212.0,GRA2T,4752.0,sao luis,MA,2111300.0,Gabinete de Desembargador do Trabalho,T,,-2.5431817,-44.2926719,1,541,3513.1645101663585,1546.3531242069516,3,3,150,0
19627,GABINETE DO DESEMBARGADOR AMÉRICO BEDÊ FREIRE,13212.0,GRA2T,4752.0,sao luis,MA,2111300.0,Gabinete de Desembargador do Trabalho,T,,-2.5431817,-44.2926719,1,39,2705.897435897436,527.8449646470991,3,3,1,0
19628,GABINETE DO DESEMBARGADOR JOSÉ EVANDRO DE SOUZA,13212.0,GRA2T,4752.0,sao luis,MA,2111300.0,Gabinete de Desembargador do Trabalho,T,,-2.5431817,-44.2926719,1,42,2880.238095238096,160.56302580481128,3,3,1,0
19629,GABINETE DO DESEMBARGADOR GERSON DE OLIVEIRA COSTA FILHO,13212.0,GRA2T,4752.0,sao luis,MA,2111300.0,Gabinete de Desembargador do Trabalho,T,,-2.5431817,-44.2926719,1,458,3421.126637554585,935.8351272108624,3,3,44,0
19630,GABINETE DA DESEMBARGADORA MÁRCIA ANDREA FARIAS DA SILVA,13212.0,GRA2T,4752.0,sao luis,MA,2111300.0,Gabinete de Desembargador do Trabalho,T,,-2.5431817,-44.2926719,1,541,3514.894639556377,801.9414245990616,3,3,16,0
19631,GABINETE DA DESEMBARGADORA ILKA ESDRA SILVA ARAÚJO,13212.0,GRA2T,4752.0,sao luis,MA,2111300.0,Gabinete de Desembargador do Trabalho,T,,-2.5431817,-44.2926719,1,524,3537.43893129771,2019.9409300958318,3,3,188,0
19957,Alagoinhas  - 01a Vara,13201.0,GRA1T,92.0,alagoinhas,BA,2900702.0,Varas Trabalhistas,T,,-12.1452619,-38.4009141,0,526,3296.1596958174896,41.351541098129395,3,1,68,0
19958,Alagoinhas  - 02a Vara,13201.0,GRA1T,92.0,alagoinhas,BA,2900702.0,Varas Trabalhistas,T,,-12.1452619,-38.4009141,0,579,2618.497409326425,26.595594566341838,3,1,24,0
19959,Barreiras  - 01a Vara,13201.0,GRA1T,534.0,barreiras,BA,2903201.0,Varas Trabalhistas,T,,-12.1597491,-44.9921501,0,855,3213.066666666666,90.68023049113957,3,1,52,0
19960,Bom Jesus da Lapa  - 01a Vara,13201.0,GRA1T,669.0,bom jesus da lapa,BA,2903904.0,Varas Trabalhistas,T,,-13.2587772,-43.4065605,0,397,3535.9899244332487,38.879311887929155,3,1,45,0
19961,Brumado  - 01a Vara,13201.0,GRA1T,775.0,brumado,BA,2904605.0,Varas Trabalhistas,T,,-14.2058335,-41.6661199,0,221,3649.325791855204,371.12588857667504,3,3,32,0
19962,Camaçari  - 01a Vara,13201.0,GRA1T,903.0,camacari,BA,2905701.0,Varas Trabalhistas,T,,-12.7053945,-38.3189769,0,621,4655.204508856683,291.57027692454733,3,1,129,0
19963,Camaçari  - 02a Vara,13201.0,GRA1T,903.0,camacari,BA,2905701.0,Varas Trabalhistas,T,,-12.7053945,-38.3189769,0,688,4844.433139534884,178.7235228673505,3,1,139,0
19964,Camaçari  - 03a Vara,13201.0,GRA1T,903.0,camacari,BA,2905701.0,Varas Trabalhistas,T,,-12.7053945,-38.3189769,0,619,4353.584814216479,114.9013980959444,3,1,122,0
19965,Camaçari  - 04a Vara,13201.0,GRA1T,903.0,camacari,BA,2905701.0,Varas Trabalhistas,T,,-12.7053945,-38.3189769,0,499,3085.6873747494988,33.55054502771621,3,1,31,0
19966,Candeias  - 01a Vara,13201.0,GRA1T,1001.0,candeias,BA,2906501.0,Varas Trabalhistas,T,,-12.6456606,-38.5361172,0,549,5884.289617486339,74.5182306261403,3,1,165,0
19967,Candeias  - 02a Vara,13201.0,GRA1T,1001.0,candeias,BA,2906501.0,Varas Trabalhistas,T,,-12.6456606,-38.5361172,0,97,939.2371134020618,10.69260389988118,1,1,0,0
19968,Conceição do Coité  - 01a Vara,13201.0,GRA1T,1321.0,conceicao do coite,BA,2908408.0,Varas Trabalhistas,T,,-11.5657082,-39.2824653,0,336,3298.877976190476,31.951455951957026,3,1,33,0
19969,Cruz das Almas  - 01a Vara,13201.0,GRA1T,1455.0,cruz das almas,BA,2909802.0,Varas Trabalhistas,T,,-12.6707534,-39.1004875,0,506,7740.976284584979,455.5311584742207,3,1,329,0
19970,Euclides da Cunha  - 01a Vara,13201.0,GRA1T,1704.0,euclides da cunha,BA,2910701.0,Varas Trabalhistas,T,,-10.5058417,-39.0178558,0,126,3430.1825396825398,76.00885217809339,3,1,11,0
19971,Eunápolis  - 01a Vara,13201.0,GRA1T,1708.0,eunapolis,BA,2910727.0,Varas Trabalhistas,T,,-16.3741324,-39.5745499,0,672,4148.708333333333,67.87806140827018,3,1,98,0
19972,Feira de Santana  - 01a Vara,13201.0,GRA1T,1737.0,feira de santana,BA,2910800.0,Varas Trabalhistas,T,,-12.2493395,-38.9487838,0,390,2849.3025641025642,27.07176609150396,3,1,44,0
19973,Feira de Santana  - 02a Vara,13201.0,GRA1T,1737.0,feira de santana,BA,2910800.0,Varas Trabalhistas,T,,-12.2493395,-38.9487838,0,415,3581.465060240964,105.6040325931126,3,1,58,0
19974,Feira de Santana  - 03a Vara,13201.0,GRA1T,1737.0,feira de santana,BA,2910800.0,Varas Trabalhistas,T,,-12.2493395,-38.9487838,0,327,1856.737003058104,15.883240521855635,1,1,18,0
19975,Feira de Santana  - 04a Vara,13201.0,GRA1T,1737.0,feira de santana,BA,2910800.0,Varas Trabalhistas,T,,-12.2493395,-38.9487838,0,257,1136.136186770428,17.068286226310533,1,1,0,0
19976,Feira de Santana  - 05a Vara,13201.0,GRA1T,1737.0,feira de santana,BA,2910800.0,Varas Trabalhistas,T,,-12.2493395,-38.9487838,0,296,939.7060810810808,17.28554456202743,1,1,2,0
19977,Feira de Santana  - 06a Vara,13201.0,GRA1T,1737.0,feira de santana,BA,2910800.0,Varas Trabalhistas,T,,-12.2493395,-38.9487838,0,338,907.4408284023668,11.264498126987613,1,1,0,0
19978,Guanambi  - 01a Vara,13201.0,GRA1T,1965.0,guanambi,BA,2911709.0,Varas Trabalhistas,T,,-14.2202725,-42.7809874,0,531,2196.853107344633,287.39359005609373,3,1,30,0
19979,Ilhéus  - 01a Vara,13201.0,GRA1T,2146.0,ilheus,BA,2913606.0,Varas Trabalhistas,T,,-14.784087,-39.0463705,0,560,4574.025,62.66896589406392,3,1,54,0
19980,Ilhéus  - 02a Vara,13201.0,GRA1T,2146.0,ilheus,BA,2913606.0,Varas Trabalhistas,T,,-14.784087,-39.0463705,0,479,4013.475991649269,180.34664215883592,3,1,43,0
19981,Ilhéus  - 03a Vara,13201.0,GRA1T,2146.0,ilheus,BA,2913606.0,Varas Trabalhistas,T,,-14.784087,-39.0463705,0,190,1803.878947368421,15.880394541176367,3,1,0,0
19982,Ipiaú  - 01a Vara,13201.0,GRA1T,2205.0,ipiau,BA,2913903.0,Varas Trabalhistas,T,,-14.1362974,-39.7341629,0,708,6654.348870056498,585.0570918866326,3,1,171,0
19983,Irecê  - 01a Vara,13201.0,GRA1T,2247.0,irece,BA,2914604.0,Varas Trabalhistas,T,,-11.307991,-41.8570969,0,325,4731.772307692308,129.08670461702985,3,1,60,0
19984,Itaberaba  - 01a Vara,13201.0,GRA1T,2261.0,itaberaba,BA,2914703.0,Varas Trabalhistas,T,,-12.531598,-40.3031865,0,364,3025.950549450549,37.10911844581832,3,1,50,0
19985,Itabuna  - 01a Vara,13201.0,GRA1T,2268.0,itabuna,BA,2914802.0,Varas Trabalhistas,T,,-14.8071158,-39.2764107,0,377,3831.366047745358,48.34131387314087,3,1,43,0
19986,Itabuna  - 02a Vara,13201.0,GRA1T,2268.0,itabuna,BA,2914802.0,Varas Trabalhistas,T,,-14.8071158,-39.2764107,0,440,4551.654545454546,120.39161838524548,3,1,111,0
19987,Itabuna  - 03a Vara,13201.0,GRA1T,2268.0,itabuna,BA,2914802.0,Varas Trabalhistas,T,,-14.8071158,-39.2764107,0,331,2245.262839879154,23.01551402074461,3,1,12,0
19988,Itabuna  - 04a Vara,13201.0,GRA1T,2268.0,itabuna,BA,2914802.0,Varas Trabalhistas,T,,-14.8071158,-39.2764107,0,216,1919.5694444444448,23.653090261758145,3,1,1,0
19989,Itamaraju  - 01a Vara,13201.0,GRA1T,2308.0,itamaraju,BA,2915601.0,Varas Trabalhistas,T,,-17.031716,-39.5316391,0,339,4204.890855457227,482.8644771938929,3,3,96,0
19990,Itapetinga  - 01a Vara,13201.0,GRA1T,2344.0,itapetinga,BA,2916401.0,Varas Trabalhistas,T,,-15.2460937,-40.2556278,0,431,1588.2575406032486,35.94478460315078,1,1,8,0
19991,Jacobina  - 01a Vara,13201.0,GRA1T,2452.0,jacobina,BA,2917508.0,Varas Trabalhistas,T,,-11.1832419,-40.5206288,0,484,3419.181818181818,122.99133178488495,3,1,32,0
19992,Jequié  - 01a Vara,13201.0,GRA1T,2537.0,jequie,BA,2918001.0,Varas Trabalhistas,T,,-13.8723224,-40.0724815,0,295,2846.837288135593,30.24187665198041,3,1,30,0
19993,Juazeiro  - 01a Vara,13201.0,GRA1T,2592.0,juazeiro,BA,2918407.0,Varas Trabalhistas,T,,-9.4184454,-40.5028213,0,374,1375.125668449198,23.86225346645847,1,1,6,0
19994,Juazeiro  - 02a Vara,13201.0,GRA1T,2592.0,juazeiro,BA,2918407.0,Varas Trabalhistas,T,,-9.4184454,-40.5028213,0,351,1030.3931623931624,24.55406193252172,1,1,1,0
19995,Paulo Afonso  - 01a Vara,13201.0,GRA1T,3625.0,paulo afonso,BA,2924009.0,Varas Trabalhistas,T,,-9.3988381,-38.2165145,0,295,4663.410169491525,237.8120824702087,3,1,51,0
19996,Porto Seguro  - 01a Vara,13201.0,GRA1T,3925.0,porto seguro,BA,2925303.0,Varas Trabalhistas,T,,-16.4360036,-39.0783758,0,308,583.7532467532468,8.734476487351166,1,1,0,0
